,S,K,r,v,t,premium,optype
309,2011.48,2900.0,0,69.56,0.07766409817351598,0.442647,P
310,2011.48,3000.0,0,72.53,0.07766409817351598,0.002293,C
311,2011.48,3000.0,0,72.53,0.07766409817351598,0.491851,P
312,2011.48,3100.0,0,74.44,0.07766409817351598,0.001791,C
313,2011.48,3100.0,0,74.44,0.07766409817351598,0.541001,P
314,2011.48,3200.0,0,76.83,0.07766409817351598,0.00149,C
315,2011.48,3200.0,0,76.83,0.07766409817351598,0.590352,P
316,2011.48,3300.0,0,79.42,0.077664066463724,0.001289,C
317,2011.48,3300.0,0,79.42,0.077664066463724,0.639803,P
318,2011.48,3400.0,0,81.55,0.077664066463724,0.001087,C
319,2011.48,3400.0,0,81.55,0.077664066463724,0.689253,P
320,2011.48,3500.0,0,82.56,0.077664066463724,0.000836,C
321,2011.48,3500.0,0,82.56,0.077664066463724,0.738653,P
322,2011.48,3600.0,0,85.42,0.077664066463724,0.000782,C
323,2011.48,3600.0,0,85.42,0.077664066463724,0.788251,P
324,2011.48,3700.0,0,88.23,0.077664066463724,0.000739,C
325,2011.48,3700.0,0,88.23,0.077664066463724,0.837861,P
326,2011.48,3800.0,0,90.86,0.077664066463724,0.000694,C
327,2011.48,3800.0,0,90.86,0.077664066463724,0.887468,P
328,2011.48,4000.0,0,93.0,0.07766403475393202,0.000469,C
329,2011.48,4000.0,0,93.01,0.07766403475393202,0.986537,P
330,2011.48,4200.0,0,95.55,0.07766403475393202,0.000342,C
331,2011.48,4200.0,0,95.55,0.07766403475393202,1.085713,P
332,2011.48,4400.0,0,96.09,0.07766403475393202,0.000206,C
333,2011.48,4400.0,0,96.09,0.07766403475393202,1.184881,P
334,2011.48,4500.0,0,101.03,0.07766403475393202,0.000272,C
335,2011.48,4500.0,0,101.03,0.07766403475393202,1.234598,P
336,2011.48,4600.0,0,101.46,0.07766403475393202,0.00022,C
337,2011.48,4600.0,0,101.46,0.07766403475393202,1.284198,P
338,2011.48,4800.0,0,105.61,0.07766403475393202,0.000211,C
339,2011.48,4800.0,0,105.61,0.07766403475393202,1.383493,P
340,2011.48,5000.0,0,109.93,0.07766403475393202,0.000211,C
341,2011.48,5000.0,0,109.93,0.07766400304414003,1.482796,P
342,2011.48,5200.0,0,114.05,0.07766400304414003,0.000211,C
343,2011.48,5200.0,0,114.05,0.07766400304414003,1.582112,P
344,2011.48,5400.0,0,118.0,0.07766400304414003,0.000211,C
345,2011.48,5400.0,0,118.0,0.07766400304414003,1.681416,P
346,2011.48,5500.0,0,119.61,0.07766400304414003,0.000205,C
347,2011.48,5500.0,0,119.61,0.07766400304414003,1.731062,P
348,2011.48,5600.0,0,121.48,0.07766400304414003,0.000205,C
349,2011.48,5600.0,0,121.48,0.07766400304414003,1.780713,P
350,2011.48,6000.0,0,128.58,0.07766400304414003,0.000205,C
351,2011.48,6000.0,0,128.58,0.07766400304414003,1.979321,P
352,2011.48,6500.0,0,136.75,0.07766400304414003,0.000205,C
353,2011.48,6500.0,0,136.75,0.07766400304414003,2.227581,P
354,2011.48,7000.0,0,144.24,0.07766397133434805,0.000204,C
355,2011.48,7000.0,0,143.95,0.07766397133434805,2.475956,P
356,2011.48,7500.0,0,150.85,0.07766397133434805,0.000199,C
357,2011.48,7500.0,0,150.85,0.07766397133434805,2.724224,P
358,2011.48,8000.0,0,157.25,0.07766397133434805,0.000199,C
359,2011.48,8000.0,0,157.25,0.07766397133434805,2.972493,P
360,2011.48,8500.0,0,163.22,0.07766397133434805,0.000199,C
361,2011.48,8500.0,0,163.22,0.07766397133434805,3.220761,P
362,2011.48,9000.0,0,168.44,0.07766397133434805,0.000194,C
363,2011.48,9000.0,0,168.44,0.07766397133434805,3.469024,P
364,2011.48,1000.0,0,86.42,0.17355438229325215,0.508163,C
365,2011.48,1000.0,0,86.42,0.17355438229325215,0.002396,P
366,2011.48,1200.0,0,76.55,0.17355435058346017,0.412118,C
367,2011.48,1200.0,0,76.55,0.17355435058346017,0.005197,P
368,2011.48,1400.0,0,69.32,0.17355435058346017,0.319562,C
369,2011.48,1400.0,0,69.32,0.17355435058346017,0.011499,P
370,2011.48,1600.0,0,63.87,0.17355435058346017,0.233721,C
371,2011.48,1600.0,0,63.87,0.17355435058346017,0.024506,P
372,2011.48,1700.0,0,61.82,0.17355435058346017,0.19485,C
373,2011.48,1700.0,0,61.82,0.17355435058346017,0.035059,P
374,2011.48,1800.0,0,60.95,0.17355435058346017,0.16063,C
375,2011.48,1800.0,0,60.95,0.17355435058346017,0.050263,P
376,2011.48,1900.0,0,60.54,0.17355435058346017,0.130871,C
377,2011.48,1900.0,0,60.54,0.17355435058346017,0.069928,P
378,2011.48,2000.0,0,60.0,0.17355435058346017,0.10489,C
379,2011.48,2000.0,0,60.0,0.17355431887366818,0.093371,P
380,2011.48,2100.0,0,60.06,0.17355431887366818,0.083733,C
381,2011.48,2100.0,0,60.06,0.17355431887366818,0.121639,P
382,2011.48,2200.0,0,59.82,0.17355431887366818,0.065706,C
383,2011.48,2200.0,0,59.82,0.17355431887366818,0.153032,P
384,2011.48,2300.0,0,60.1,0.17355431887366818,0.051738,C
385,2011.48,2300.0,0,60.1,0.17355431887366818,0.188488,P
386,2011.48,2400.0,0,60.54,0.17355431887366818,0.040741,C
387,2011.48,2400.0,0,60.54,0.17355431887366818,0.226915,P
388,2011.48,2500.0,0,61.18,0.17355431887366818,0.032241,C
389,2011.48,2500.0,0,61.18,0.17355431887366818,0.267839,P
390,2011.48,2600.0,0,62.0,0.17355431887366818,0.025741,C
391,2011.48,2600.0,0,62.0,0.17355431887366818,0.310762,P
392,2011.48,2700.0,0,63.66,0.1735542871638762,0.021495,C
393,2011.48,2700.0,0,63.66,0.1735542871638762,0.355941,P
394,2011.48,2800.0,0,63.81,0.1735542871638762,0.01674,C
395,2011.48,2800.0,0,63.81,0.1735542871638762,0.400602,P
396,2011.48,3000.0,0,66.11,0.1735542871638762,0.011493,C
397,2011.48,3000.0,0,66.11,0.1735542871638762,0.494202,P
398,2011.48,3200.0,0,68.54,0.1735542871638762,0.00823,C
399,2011.48,3200.0,0,68.54,0.1735542871638762,0.589787,P
400,2011.48,3400.0,0,71.22,0.1735542871638762,0.006223,C
401,2011.48,3400.0,0,71.22,0.1735542871638762,0.686627,P
402,2011.48,3500.0,0,72.56,0.1735542871638762,0.005486,C
403,2011.48,3500.0,0,72.56,0.1735542871638762,0.735313,P
404,2011.48,3600.0,0,72.56,0.1735542871638762,0.004382,C
405,2011.48,3600.0,0,72.56,0.17355425545408423,0.783633,P
